#Cont	#Expt	#Genes	Condition	GSEID	ROC-AUC	Series	Signature	Species	pvalue
60	32	(48,137,153)	UC GSE83687	GSE83687	0.17	GSE83687	C13-14-3	Hs	2.01e-07
60	42	(48,137,153)	CD GSE83687	GSE83687	0.53	GSE83687	C13-14-3	Hs	0.992
7	6	(48,137,153)	Normal Surface GSE77953	GSE77953	0.0	GSE77953	C13-14-3	Hs	0.00014099999999999998
7	17	(48,137,153)	Adenoma GSE77953	GSE77953	0.69	GSE77953	C13-14-3	Hs	0.17
7	17	(48,137,153)	CRC GSE77953	GSE77953	0.45	GSE77953	C13-14-3	Hs	0.747
6	6	(48,137,153)	Distal/Proximal GSE64658	GSE64658	0.97	GSE64658	C13-14-3	Mm	0.00375
3	3	(48,137,153)	Distal/Proximal GSE64423	GSE64423	0.78	GSE64423	C13-14-3	Mm	0.322
20	26	(48,137,153)	OA GSE55235 GSE55457 GSE55584	GSE55235	0.3	GSE55235	C13-14-3	Hs	0.0584
20	33	(48,137,153)	RA GSE55235 GSE55457 GSE55584	GSE55235	0.26	GSE55235	C13-14-3	Hs	0.002
44	104	(48,137,153)	NASH GSE83452	GSE83452	0.55	GSE83452	C13-14-3	Hs	0.455
14	16	(48,137,153)	NASH GSE126848	GSE126848	0.51	GSE126848	C13-14-3	Hs	0.8270000000000001
14	15	(48,137,153)	NAFLD GSE126848	GSE126848	0.33	GSE126848	C13-14-3	Hs	0.10300000000000001
14	12	(48,137,153)	Obese GSE126848	GSE126848	0.59	GSE126848	C13-14-3	Hs	0.405
15	15	(48,137,153)	Smoker GSE2125	GSE2125	0.73	GSE2125	C13-14-3	Hs	0.0417
39	49	(48,137,153)	Smoker GSE2125 GSE13896	GSE2125	0.72	GSE2125	C13-14-3	Hs	0.00274
39	15	(48,137,153)	Asthma GSE2125 GSE13896	GSE2125	0.66	GSE2125	C13-14-3	Hs	0.0809
39	12	(48,137,153)	COPD GSE2125 GSE13896	GSE2125	0.83	GSE2125	C13-14-3	Hs	6.620000000000001e-05
3	3	(48,137,153)	Newborn GSE60216	GSE60216	0.78	GSE60216	C13-14-3	Hs	0.382
3	3	(48,137,153)	Old GSE60216	GSE60216	0.22	GSE60216	C13-14-3	Hs	0.313
16	8	(48,137,153)	ICM GSE127244	GSE127244	0.8	GSE127244	C13-14-3	Hs	0.019
14	11	(48,137,153)	ICM GSE104423	GSE104423	0.64	GSE104423	C13-14-3	Hs	0.738
24	37	(48,137,153)	AD GSE118553	GSE118553	0.76	GSE118553	C13-14-3	Hs	0.00044
39	15	(48,137,153)	AD GSE48350	GSE48350	0.79	GSE48350	C13-14-3	Hs	0.000103
36	36	(48,137,153)	HAND GSE35864	GSE35864	0.68	GSE35864	C13-14-3	Hs	0.0157
17	15	(48,137,153)	FTD GSE13162	GSE13162	0.63	GSE13162	C13-14-3	Hs	0.0991
58	58	(48,137,153)	DS GSE59630	GSE59630	0.59	GSE59630	C13-14-3	Hs	0.11699999999999999
10	11	(48,137,153)	CJD GSE124571	GSE124571	0.42	GSE124571	C13-14-3	Hs	0.292
106	23	(48,137,153)	Sepsis GSE63042	GSE63042	0.44	GSE63042	C13-14-3	Hs	0.319
20	14	(48,137,153)	Sepsis GSE110487	GSE110487	0.22	GSE110487	C13-14-3	Hs	0.174
12	12	(48,137,153)	T2D GSE104674	GSE104674	0.24	GSE104674	C13-14-3	Hs	0.0204
40	30	(48,137,153)	Diabetes GSE22309	GSE22309	0.85	GSE22309	C13-14-3	Hs	9.350000000000001e-05
43	10	(48,137,153)	MetS GSE58979	GSE58979	0.18	GSE58979	C13-14-3	Hs	0.00041500000000000006
11	11	(48,137,153)	Sleep GSE80612	GSE80612	1.0	GSE80612	C13-14-3	Hs	1.86e-06
342	213	(48,137,153)	Sleep GSE98582	GSE98582	0.55	GSE98582	C13-14-3	Hs	0.342
3	3	(48,137,153)	Sleep GSE9444	GSE9444	0.78	GSE9444	C13-14-3	Hs	0.146
22	22	(48,137,153)	Sleep GSE122541	GSE122541	0.91	GSE122541	C13-14-3	Hs	9.53e-08
20	20	(48,137,153)	Sleep GSE98895	GSE98895	0.19	GSE98895	C13-14-3	Hs	0.000404
7	10	(48,137,153)	Night GSE87761	GSE87761	0.93	GSE87761	C13-14-3	Hs	0.00149
12	12	(48,137,153)	Ebola GSE133595	GSE133595	0.76	GSE133595	C13-14-3	Hs	0.0627
94	89	(48,137,153)	Ebola GSE130629	GSE130629	0.72	GSE130629	C13-14-3	Hs	1.39e-06
22	37	(48,137,153)	Ebola GSE122692	GSE122692	0.39	GSE122692	C13-14-3	Hs	0.19699999999999998
10	60	(48,137,153)	SARS GSE5972	GSE5972	0.02	GSE5972	C13-14-3	Hs	1.27e-06
123	157	(48,137,153)	SARS GSE47963	GSE47963	0.48	GSE47963	C13-14-3	Hs	0.46299999999999997
15	27	(48,137,153)	H7N9 GSE114466	GSE114466	0.08	GSE114466	C13-14-3	Hs	2.8699999999999996e-05
128	127	(48,137,153)	H1N1 GSE68310	GSE68310	0.09	GSE68310	C13-14-3	Hs	1.1499999999999998e-36
32	46	(48,137,153)	InfA GSE52405	GSE52405	0.52	GSE52405	C13-14-3	Hs	0.7659999999999999
32	42	(48,137,153)	Cov1 GSE52405	GSE52405	0.33	GSE52405	C13-14-3	Hs	0.0128
51	67	(48,137,153)	Flu GSE113211	GSE113211	0.34	GSE113211	C13-14-3	Hs	0.0138
130	229	(48,137,153)	Flu GSE111368	GSE111368	0.09	GSE111368	C13-14-3	Hs	1.5900000000000003e-42
