#Cont	#Expt	#Genes	Condition	GSEID	ROC-AUC	Series	Signature	Species	pvalue
60	32	(2,15,14)	UC GSE83687	GSE83687	0.38	GSE83687	Keller_C13-14-3	Hs	0.0463
60	42	(2,15,14)	CD GSE83687	GSE83687	0.69	GSE83687	Keller_C13-14-3	Hs	0.00192
7	6	(2,15,14)	Normal Surface GSE77953	GSE77953	0.31	GSE77953	Keller_C13-14-3	Hs	0.222
7	17	(2,15,14)	Adenoma GSE77953	GSE77953	0.71	GSE77953	Keller_C13-14-3	Hs	0.0849
7	17	(2,15,14)	CRC GSE77953	GSE77953	0.60	GSE77953	Keller_C13-14-3	Hs	0.69
6	6	(2,15,14)	Distal/Proximal GSE64658	GSE64658	0.53	GSE64658	Keller_C13-14-3	Mm	0.966
3	3	(2,15,14)	Distal/Proximal GSE64423	GSE64423	0.67	GSE64423	Keller_C13-14-3	Mm	0.492
20	26	(2,15,14)	OA GSE55235 GSE55457 GSE55584	GSE55235	0.42	GSE55235	Keller_C13-14-3	Hs	0.614
20	33	(2,15,14)	RA GSE55235 GSE55457 GSE55584	GSE55235	0.44	GSE55235	Keller_C13-14-3	Hs	0.651
44	104	(2,15,14)	NASH GSE83452	GSE83452	0.57	GSE83452	Keller_C13-14-3	Hs	0.156
14	16	(2,15,14)	NASH GSE126848	GSE126848	0.37	GSE126848	Keller_C13-14-3	Hs	0.345
14	15	(2,15,14)	NAFLD GSE126848	GSE126848	0.23	GSE126848	Keller_C13-14-3	Hs	0.011
14	12	(2,15,14)	Obese GSE126848	GSE126848	0.68	GSE126848	Keller_C13-14-3	Hs	0.145
15	15	(2,15,14)	Smoker GSE2125	GSE2125	0.56	GSE2125	Keller_C13-14-3	Hs	0.576
39	49	(2,15,14)	Smoker GSE2125 GSE13896	GSE2125	0.63	GSE2125	Keller_C13-14-3	Hs	0.0282
39	15	(2,15,14)	Asthma GSE2125 GSE13896	GSE2125	0.68	GSE2125	Keller_C13-14-3	Hs	0.0799
39	12	(2,15,14)	COPD GSE2125 GSE13896	GSE2125	0.60	GSE2125	Keller_C13-14-3	Hs	0.0971
3	3	(2,15,14)	Newborn GSE60216	GSE60216	0.89	GSE60216	Keller_C13-14-3	Hs	0.145
3	3	(2,15,14)	Old GSE60216	GSE60216	0.44	GSE60216	Keller_C13-14-3	Hs	0.781
16	8	(2,15,14)	ICM GSE127244	GSE127244	0.77	GSE127244	Keller_C13-14-3	Hs	0.0488
14	11	(2,15,14)	ICM GSE104423	GSE104423	0.64	GSE104423	Keller_C13-14-3	Hs	0.782
24	37	(2,15,14)	AD GSE118553	GSE118553	0.57	GSE118553	Keller_C13-14-3	Hs	0.377
39	15	(2,15,14)	AD GSE48350	GSE48350	0.76	GSE48350	Keller_C13-14-3	Hs	0.000599
36	36	(2,15,14)	HAND GSE35864	GSE35864	0.77	GSE35864	Keller_C13-14-3	Hs	0.000778
17	15	(2,15,14)	FTD GSE13162	GSE13162	0.77	GSE13162	Keller_C13-14-3	Hs	0.00419
58	58	(2,15,14)	DS GSE59630	GSE59630	0.42	GSE59630	Keller_C13-14-3	Hs	0.24
10	11	(2,15,14)	CJD GSE124571	GSE124571	0.64	GSE124571	Keller_C13-14-3	Hs	0.105
106	23	(2,15,14)	Sepsis GSE63042	GSE63042	0.36	GSE63042	Keller_C13-14-3	Hs	0.0799
20	14	(2,15,14)	Sepsis GSE110487	GSE110487	0.43	GSE110487	Keller_C13-14-3	Hs	0.487
12	12	(2,15,14)	T2D GSE104674	GSE104674	0.27	GSE104674	Keller_C13-14-3	Hs	0.0316
40	30	(2,15,14)	Diabetes GSE22309	GSE22309	0.53	GSE22309	Keller_C13-14-3	Hs	0.545
43	10	(2,15,14)	MetS GSE58979	GSE58979	0.12	GSE58979	Keller_C13-14-3	Hs	0.000463
11	11	(2,15,14)	Sleep GSE80612	GSE80612	0.84	GSE80612	Keller_C13-14-3	Hs	0.00271
342	213	(2,15,14)	Sleep GSE98582	GSE98582	0.55	GSE98582	Keller_C13-14-3	Hs	0.0792
3	3	(2,15,14)	Sleep GSE9444	GSE9444	0.78	GSE9444	Keller_C13-14-3	Hs	0.28
22	22	(2,15,14)	Sleep GSE122541	GSE122541	0.60	GSE122541	Keller_C13-14-3	Hs	0.56
20	20	(2,15,14)	Sleep GSE98895	GSE98895	0.13	GSE98895	Keller_C13-14-3	Hs	1.99e-05
