C#14 Gene,Relation,Count
TFPI,Hi-Lo,109
MAP3K8,Hi-Lo,107
FRY,Hi-Lo,106
PIBF1,Hi-Lo,105
SFRS15,Hi-Lo,103
CCDC88A,Hi-Lo,103
PARP2,Hi-Lo,99
RBBP8,Hi-Lo,99
CLEC4A,Hi-Lo,98
DCUN1D4,Hi-Lo,98
CD302,Hi-Lo,96
CRTAP,Hi-Lo,95
C12orf29,Hi-Lo,94
KCTD3,Hi-Lo,92
CPEB3,Hi-Lo,90
ZNF529,Hi-Lo,89
GNE,Hi-Lo,85
KMO,Hi-Lo,84
MGAT4A,Hi-Lo,82
METTL7A,Hi-Lo,80
ZNF266,Hi-Lo,79
XBP1,Hi-Lo,78
SYNE1,Hi-Lo,78
RPL35A,Hi-Lo,77
RPS6KA2,Hi-Lo,75
GIN1,Hi-Lo,75
DTWD1,Hi-Lo,74
PCBP2,Hi-Lo,74
CEP63,Hi-Lo,73
RAPGEF6,Hi-Lo,73
EBI2,Hi-Lo,72
TCEA1,Hi-Lo,72
EZH1,Hi-Lo,71
DIS3,Hi-Lo,67
LONP2,Hi-Lo,66
PGRMC2,Hi-Lo,61
TRIM44,Hi-Lo,61
MDC1,Hi-Lo,57
NOL8,Hi-Lo,57
C13orf27,Hi-Lo,54
ZNF23,Hi-Lo,51
RPS17L4,Hi-Lo,50
NPEPPS,Hi-Lo,50
JAK1,Hi-Lo,49
KIAA1245,Hi-Lo,49
EIF3EIP,Hi-Lo,48
LOC730092,Hi-Lo,48
RAB33B,Hi-Lo,48
KLHDC2,Hi-Lo,47
CYLD,Hi-Lo,45
SPG7,Hi-Lo,45
RPL10,Hi-Lo,42
DDX17,Hi-Lo,41
RPS21,Hi-Lo,40
KTELC1,Hi-Lo,39
TRIM38,Hi-Lo,39
MLXIP,Hi-Lo,38
ZNF274,Hi-Lo,38
STK38,Hi-Lo,37
ZNF228,Hi-Lo,37
SLC46A3,Hi-Lo,34
RNF5,Hi-Lo,34
ZDHHC6,Hi-Lo,32
RPL9,Hi-Lo,31
RPL24,Hi-Lo,31
RPS16,Hi-Lo,30
FCF1,Hi-Lo,29
CRK,Hi-Lo,29
LOC440350,Hi-Lo,28
NACA,Hi-Lo,26
BRD1,Hi-Lo,26
LOC439992,Hi-Lo,25
C4orf8,Hi-Lo,24
RBM4,Hi-Lo,24
ZNF551,Hi-Lo,23
RPL6,Hi-Lo,23
PBLD,Hi-Lo,21
TMEM70,Hi-Lo,19
EEF1B2,Hi-Lo,16
FNBP1,Hi-Lo,16
SFRS17A,Hi-Lo,16
SLC9A8,Hi-Lo,14
ENOSF1,Hi-Lo,14
JMJD2B,Hi-Lo,14
RPL22,Hi-Lo,13
NFYB,Hi-Lo,12
USE1,Hi-Lo,10
PPRC1,Hi-Lo,10
TTC31,Hi-Lo,10
RPL14,Hi-Lo,9
NXF1,Hi-Lo,8
RPL17,Hi-Lo,8
MLL,Hi-Lo,8
CLK2,Hi-Lo,8
FLJ21865,Hi-Lo,8
LOC653380,Hi-Lo,7
EEF2,Hi-Lo,7
ZBTB5,Hi-Lo,7
NFX1,Hi-Lo,6
CSE1L,Hi-Lo,6
FBXO9,Hi-Lo,6
GGA2,Hi-Lo,6
SMG7,Hi-Lo,5
DIDO1,Hi-Lo,5
LOC100128140,Hi-Lo,5
LOC390612,Hi-Lo,4
RPL13,Hi-Lo,4
ZNF187,Hi-Lo,4
GAB2,Hi-Lo,4
RGS10,Hi-Lo,4
RPS15A,Hi-Lo,4
SLC25A6,Hi-Lo,4
SLC38A7,Hi-Lo,3
HMBOX1,Hi-Lo,3
SGPL1,Hi-Lo,3
PCNT,Hi-Lo,3
TULP3,Hi-Lo,3
TSC2,Hi-Lo,2
HNRNPH3,Hi-Lo,2
CAMK1D,Hi-Lo,2
DFFB,Hi-Lo,2
C19orf42,Hi-Lo,2
CRKRS,Hi-Lo,2
NARS2,Hi-Lo,2
RPL15,Hi-Lo,2
RPL3,Hi-Lo,2
SENP6,Hi-Lo,2
MARS,Hi-Lo,2
TI-227H,Hi-Lo,1
LOC649299,Hi-Lo,1
RPL23,Hi-Lo,1
ANKHD1-EIF4EBP3,Hi-Lo,1
IPO5,Hi-Lo,1
HNMT,Hi-Lo,1
HNRNPA1,Hi-Lo,1
CERK,Hi-Lo,0
CREBL2,Hi-Lo,0
